1	35
2	40
3	45
4	50
5	55
6	89
7	65
8	70
9	75
10	80
11	70
12	90
13	95
14	105
15	105
16	112
17	118
18	120
19	125
20	130
21	135
22	140
23	145
24	150
25	155
26	160
27	165
28	165
29	175
30	180
31	185
32	190
33	195
34	200
35	205
36	210
37	215
38	222
39	225
40	230
41	235
42	240
43	245
44	250
45	255
46	260
47	265
48	270
49	279
50	280
51	285
52	290
53	295
54	300
55	307
56	310
57	315
58	320
59	325
60	330
61	335
62	340
63	345
64	350
65	355
66	360
67	368
68	370
69	375
70	380
71	385
72	390
73	395
74	400
75	405
76	410
77	415
78	420
79	425
80	430
81	435
82	441
83	445
84	450
85	455
86	460
87	465
88	470
89	475
90	480
91	485
92	490
93	495
94	500
95	505
96	516
97	515
98	520
99	525
100	525
101	535
102	540
103	545
104	551
105	555
106	560
107	565
108	570
109	575
110	580
111	585
112	590
113	595
114	616
115	605
116	610
117	615
118	620
119	625
120	630
121	635
122	640
123	645
124	650
125	660
126	660
127	665
128	670
129	675
130	680
131	640
132	690
133	695
134	700
135	705
136	710
137	715
138	720
139	735
140	730
141	735
142	752
143	745
144	750
145	755
146	760
147	750
148	770
149	775
150	780
151	785
152	790
153	722
154	800
155	805
156	810
157	815
158	820
159	822
160	830
161	835
162	866
163	845
164	850
165	855
166	860
167	865
168	870
169	875
170	880
171	885
172	890
173	885
174	902
175	905
176	910
177	915
178	921
179	925
180	930
181	935
182	942
183	945
184	950
185	955
186	960
187	967
188	970
189	975
190	980
191	985
192	990
193	995
194	1000
195	1005
196	1036
197	1015
198	1022
199	1025
200	1030
